sub	all_n_go	all_n_nogo	all_n_acc	all_p_acc	all_n_go_hit	all_n_go_miss	all_n_nogo_cor	all_n_nogo_fa	all_p_go_hit	all_p_go_miss	all_p_nogo_cor	all_p_nogo_fa	all_rt_mean_go_hit	all_rt_mean_nogo_fa	all_rt_med_go_hit	all_rt_med_nogo_fa	all_z_hit	all_z_fa	all_z_hit_mm	all_z_fa_mm	all_z_hit_ll	all_z_fa_ll	all_d_prime_mm	all_d_prime_ll	all_a_prime_mm	all_a_prime_ll	all_c_mm	all_c_ll	all_grier_beta_mm	all_grier_beta_ll	b1_n_go	b1_n_nogo	b1_n_acc	b1_p_acc	b1_n_go_hit	b1_n_go_miss	b1_n_nogo_cor	b1_n_nogo_fa	b1_p_go_hit	b1_p_go_miss	b1_p_nogo_cor	b1_p_nogo_fa	b1_rt_mean_go_hit	b1_rt_mean_nogo_fa	b1_rt_med_go_hit	b1_rt_med_nogo_fa	b2_n_go	b2_n_nogo	b2_n_acc	b2_p_acc	b2_n_go_hit	b2_n_go_miss	b2_n_nogo_cor	b2_n_nogo_fa	b2_p_go_hit	b2_p_go_miss	b2_p_nogo_cor	b2_p_nogo_fa	b2_rt_mean_go_hit	b2_rt_mean_nogo_fa	b2_rt_med_go_hit	b2_rt_med_nogo_fa	b3_n_go	b3_n_nogo	b3_n_acc	b3_p_acc	b3_n_go_hit	b3_n_go_miss	b3_n_nogo_cor	b3_n_nogo_fa	b3_p_go_hit	b3_p_go_miss	b3_p_nogo_cor	b3_p_nogo_fa	b3_rt_mean_go_hit	b3_rt_mean_nogo_fa	b3_rt_med_go_hit	b3_rt_med_nogo_fa	b4_n_go	b4_n_nogo	b4_n_acc	b4_p_acc	b4_n_go_hit	b4_n_go_miss	b4_n_nogo_cor	b4_n_nogo_fa	b4_p_go_hit	b4_p_go_miss	b4_p_nogo_cor	b4_p_nogo_fa	b4_rt_mean_go_hit	b4_rt_mean_nogo_fa	b4_rt_med_go_hit	b4_rt_med_nogo_fa	b5_n_go	b5_n_nogo	b5_n_acc	b5_p_acc	b5_n_go_hit	b5_n_go_miss	b5_n_nogo_cor	b5_n_nogo_fa	b5_p_go_hit	b5_p_go_miss	b5_p_nogo_cor	b5_p_nogo_fa	b5_rt_mean_go_hit	b5_rt_mean_nogo_fa	b5_rt_med_go_hit	b5_rt_med_nogo_fa
105	150	50	153	0.765	132	18	21	29	0.88	0.12	0.42	0.58	507.371	405.483	493.0	379.0	1.175	0.202	1.175	0.202	1.162	0.198	0.973	0.965	0.764	0.763	0.688	0.68	-0.395	-0.388	30	10	21	0.525	17	13	4	6	0.567	0.433	0.4	0.6	466.647	429.167	423.0	448.5	30	10	32	0.8	28	2	4	6	0.933	0.067	0.4	0.6	537.393	434.167	534.5	428.5	30	10	32	0.8	30	0	2	8	1.0	0.0	0.2	0.8	537.8	425.375	500.5	363.0	30	10	33	0.825	29	1	4	6	0.967	0.033	0.4	0.6	496.103	353.333	492.0	356.5	30	10	35	0.875	28	2	7	3	0.933	0.067	0.7	0.3	481.143	352.0	463.0	428.0
106	150	50	149	0.745	130	20	19	31	0.867	0.133	0.38	0.62	579.562	512.29	564.5	456.0	1.111	0.305	1.111	0.305	1.1	0.299	0.805	0.8	0.733	0.733	0.708	0.699	-0.342	-0.336	30	10	34	0.85	28	2	6	4	0.933	0.067	0.6	0.4	570.107	427.0	548.0	436.5	30	10	30	0.75	29	1	1	9	0.967	0.033	0.1	0.9	559.448	545.778	565.0	565.0	30	10	20	0.5	15	15	5	5	0.5	0.5	0.5	0.5	669.0	591.6	632.0	640.0	30	10	33	0.825	29	1	4	6	0.967	0.033	0.4	0.6	560.828	474.667	545.0	437.5	30	10	32	0.8	29	1	3	7	0.967	0.033	0.3	0.7	581.276	493.571	540.0	460.0
107	150	50	187	0.935	146	4	41	9	0.973	0.027	0.82	0.18	546.267	421.333	531.5	414.0	1.932	-0.915	1.932	-0.915	1.884	-0.892	2.848	2.775	0.946	0.943	0.508	0.496	-0.701	-0.68	30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	553.6	355.0	530.0	355.0	30	10	38	0.95	29	1	9	1	0.967	0.033	0.9	0.1	519.172	453.0	505.0	453.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	544.3	351.0	532.5	351.0	30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	589.483	446.0	599.0	446.0	30	10	35	0.875	28	2	7	3	0.933	0.067	0.7	0.3	523.821	463.333	551.5	429.0
109	150	50	172	0.86	148	2	24	26	0.987	0.013	0.48	0.52	473.905	387.038	457.5	415.0	2.216	0.05	2.216	0.05	2.131	0.049	2.166	2.082	0.861	0.859	1.133	1.09	-0.9	-0.878	30	10	35	0.875	30	0	5	5	1.0	0.0	0.5	0.5	499.7	438.8	490.5	439.0	30	10	35	0.875	30	0	5	5	1.0	0.0	0.5	0.5	479.567	429.8	445.0	464.0	30	10	33	0.825	30	0	3	7	1.0	0.0	0.3	0.7	469.067	396.429	458.5	399.0	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	454.069	270.25	468.0	288.0	30	10	34	0.85	29	1	5	5	0.967	0.033	0.5	0.5	466.207	372.8	454.0	425.0
111	150	50	184	0.92	147	3	37	13	0.98	0.02	0.74	0.26	534.252	481.077	533.0	368.0	2.054	-0.643	2.054	-0.643	1.992	-0.629	2.697	2.621	0.927	0.924	0.705	0.682	-0.815	-0.792	30	10	32	0.8	29	1	3	7	0.967	0.033	0.3	0.7	530.724	578.857	522.0	382.0	30	10	38	0.95	29	1	9	1	0.967	0.033	0.9	0.1	512.966	343.0	523.0	343.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	540.0	379.5	527.5	379.5	30	10	39	0.975	29	1	10	0	0.967	0.033	1.0	0.0	523.862		540.0		30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	562.533	366.667	548.0	367.0
112	150	50	189	0.945	149	1	40	10	0.993	0.007	0.8	0.2	568.832	440.3	569.0	433.5	2.475	-0.842	2.475	-0.842	2.329	-0.821	3.316	3.15	0.948	0.945	0.817	0.754	-0.921	-0.887	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	588.4	450.333	582.0	477.0	30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	610.241	447.5	591.0	447.5	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	576.2	561.5	576.5	561.5	30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	566.6	354.0	569.5	354.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	504.1	340.0	510.0	340.0
114	150	50	178	0.89	149	1	29	21	0.993	0.007	0.58	0.42	522.537	401.524	521.0	402.0	2.475	-0.202	2.475	-0.202	2.329	-0.198	2.677	2.527	0.891	0.889	1.136	1.065	-0.947	-0.922	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	520.3	440.667	525.5	428.0	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	474.2	283.0	490.5	325.5	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	493.867	401.0	493.5	392.0	30	10	33	0.825	30	0	3	7	1.0	0.0	0.3	0.7	555.733	409.571	556.5	395.0	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	570.172	502.333	527.0	524.0
115	150	50	176	0.88	147	3	29	21	0.98	0.02	0.58	0.42	579.762	456.143	597.0	435.0	2.054	-0.202	2.054	-0.202	1.992	-0.198	2.256	2.19	0.884	0.882	0.926	0.897	-0.851	-0.83	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	686.0	512.333	683.0	487.0	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	629.724	479.667	624.0	491.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	602.333	525.667	594.0	536.0	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	493.0	394.5	469.0	397.5	30	10	32	0.8	30	0	2	8	1.0	0.0	0.2	0.8	490.067	431.0	486.0	425.5
116	150	50	191	0.955	148	2	43	7	0.987	0.013	0.86	0.14	602.095	434.143	587.0	431.0	2.216	-1.08	2.216	-1.08	2.131	-1.049	3.297	3.18	0.961	0.958	0.568	0.541	-0.803	-0.77	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	553.967	404.5	541.0	404.5	30	10	39	0.975	29	1	10	0	0.967	0.033	1.0	0.0	588.448		606.0		30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	638.233	438.0	622.5	438.0	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	638.552	448.0	596.0	434.5	30	10	40	1.0	30	0	10	0	1.0	0.0	1.0	0.0	592.033		552.0	
117	150	50	164	0.82	130	20	34	16	0.867	0.133	0.68	0.32	537.254	390.25	517.0	390.5	1.111	-0.468	1.111	-0.468	1.1	-0.458	1.578	1.557	0.859	0.856	0.322	0.321	-0.306	-0.302	30	10	30	0.75	25	5	5	5	0.833	0.167	0.5	0.5	547.04	417.6	516.0	413.0	30	10	33	0.825	26	4	7	3	0.867	0.133	0.7	0.3	522.038	463.0	503.0	433.0	30	10	35	0.875	27	3	8	2	0.9	0.1	0.8	0.2	507.889	395.0	498.0	395.0	30	10	30	0.75	23	7	7	3	0.767	0.233	0.7	0.3	548.043	342.0	557.0	345.0	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	561.241	317.0	528.0	313.0
118	150	50	172	0.86	144	6	28	22	0.96	0.04	0.56	0.44	580.035	476.636	585.0	439.5	1.751	-0.151	1.751	-0.151	1.716	-0.148	1.902	1.864	0.868	0.865	0.8	0.784	-0.73	-0.714	30	10	33	0.825	28	2	5	5	0.933	0.067	0.5	0.5	599.643	411.6	610.0	432.0	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	582.724	589.5	601.0	541.5	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	598.207	531.0	625.0	392.5	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	591.067	533.25	537.5	509.0	30	10	33	0.825	28	2	5	5	0.933	0.067	0.5	0.5	527.0	362.6	534.5	365.0
119	150	50	174	0.87	149	1	25	25	0.993	0.007	0.5	0.5	471.51	381.72	474.0	341.0	2.475	0.0	2.475	0.0	2.329	0.0	2.475	2.329	0.871	0.869	1.237	1.164	-0.948	-0.924	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	542.1	327.667	541.0	303.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	446.067	352.667	440.5	341.0	30	10	34	0.85	30	0	4	6	1.0	0.0	0.4	0.6	477.767	377.0	467.5	397.5	30	10	33	0.825	30	0	3	7	1.0	0.0	0.3	0.7	483.0	384.143	491.5	357.0	30	10	33	0.825	29	1	4	6	0.967	0.033	0.4	0.6	406.448	425.167	400.0	339.5
120	150	50	165	0.825	147	3	18	32	0.98	0.02	0.36	0.64	452.327	364.406	442.0	364.5	2.054	0.358	2.054	0.358	1.992	0.351	1.695	1.641	0.823	0.821	1.206	1.172	-0.843	-0.822	30	10	32	0.8	29	1	3	7	0.967	0.033	0.3	0.7	407.552	405.571	396.0	367.0	30	10	34	0.85	30	0	4	6	1.0	0.0	0.4	0.6	483.0	328.667	453.0	316.0	30	10	32	0.8	29	1	3	7	0.967	0.033	0.3	0.7	398.31	382.286	405.0	406.0	30	10	33	0.825	30	0	3	7	1.0	0.0	0.3	0.7	455.833	376.286	477.5	345.0	30	10	34	0.85	29	1	5	5	0.967	0.033	0.5	0.5	515.759	308.0	523.0	297.0
121	150	50	183	0.915	147	3	36	14	0.98	0.02	0.72	0.28	563.306	392.429	550.0	389.5	2.054	-0.583	2.054	-0.583	1.992	-0.57	2.637	2.562	0.922	0.919	0.735	0.711	-0.823	-0.8	30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	603.414	361.0	601.0	361.0	30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	542.4	337.0	540.0	337.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	558.9	442.5	512.0	442.5	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	574.31	409.0	572.0	483.0	30	10	34	0.85	29	1	5	5	0.967	0.033	0.5	0.5	538.379	382.8	518.0	388.0
122	150	50	182	0.91	147	3	35	15	0.98	0.02	0.7	0.3	614.653	500.2	617.0	525.0	2.054	-0.524	2.054	-0.524	1.992	-0.513	2.578	2.505	0.916	0.914	0.765	0.739	-0.829	-0.807	30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	612.5	383.0	626.0	383.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	606.4	578.0	601.0	577.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	603.0	502.333	623.0	525.0	30	10	33	0.825	28	2	5	5	0.933	0.067	0.5	0.5	675.75	505.2	714.5	529.0	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	578.483	451.0	605.0	465.0
123	150	50	193	0.965	149	1	44	6	0.993	0.007	0.88	0.12	514.06	430.667	496.0	422.0	2.475	-1.175	2.475	-1.175	2.329	-1.139	3.65	3.467	0.968	0.965	0.65	0.595	-0.882	-0.837	30	10	40	1.0	30	0	10	0	1.0	0.0	1.0	0.0	481.733		460.5		30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	526.0	445.0	503.5	445.0	30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	521.621	434.0	492.0	434.0	30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	505.667	485.0	512.5	485.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	535.533	393.0	544.5	393.0
124	150	50	159	0.795	145	5	14	36	0.967	0.033	0.28	0.72	474.703	372.806	436.0	359.5	1.834	0.583	1.834	0.583	1.794	0.57	1.251	1.224	0.784	0.782	1.208	1.182	-0.724	-0.706	30	10	32	0.8	30	0	2	8	1.0	0.0	0.2	0.8	459.9	403.125	440.5	372.5	30	10	31	0.775	29	1	2	8	0.967	0.033	0.2	0.8	486.621	402.375	439.0	403.0	30	10	33	0.825	30	0	3	7	1.0	0.0	0.3	0.7	476.267	282.857	415.0	320.0	30	10	33	0.825	27	3	6	4	0.9	0.1	0.6	0.4	502.63	356.25	503.0	386.0	30	10	30	0.75	29	1	1	9	0.967	0.033	0.1	0.9	450.483	396.889	400.0	358.0
125	150	50	158	0.79	148	2	10	40	0.987	0.013	0.2	0.8	437.757	365.275	429.0	358.5	2.216	0.842	2.216	0.842	2.131	0.821	1.375	1.31	0.781	0.778	1.529	1.476	-0.848	-0.819	30	10	33	0.825	29	1	4	6	0.967	0.033	0.4	0.6	423.207	507.167	434.0	494.0	30	10	33	0.825	30	0	3	7	1.0	0.0	0.3	0.7	471.9	414.0	448.0	443.0	30	10	32	0.8	30	0	2	8	1.0	0.0	0.2	0.8	437.7	305.75	441.5	333.0	30	10	31	0.775	30	0	1	9	1.0	0.0	0.1	0.9	398.633	315.778	377.0	312.0	30	10	29	0.725	29	1	0	10	0.967	0.033	0.0	1.0	457.517	338.2	444.0	365.0
126	150	50	184	0.92	144	6	40	10	0.96	0.04	0.8	0.2	669.958	553.1	678.0	575.5	1.751	-0.842	1.751	-0.842	1.716	-0.821	2.592	2.537	0.935	0.933	0.455	0.448	-0.613	-0.598	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	634.862	517.667	626.0	505.0	30	10	38	0.95	29	1	9	1	0.967	0.033	0.9	0.1	685.103	604.0	699.0	604.0	30	10	36	0.9	28	2	8	2	0.933	0.067	0.8	0.2	673.5	619.5	677.0	619.5	30	10	38	0.95	29	1	9	1	0.967	0.033	0.9	0.1	683.034	518.0	698.0	518.0	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	673.414	539.0	695.0	547.0
127	150	50	186	0.93	148	2	38	12	0.987	0.013	0.76	0.24	474.514	356.0	470.0	351.5	2.216	-0.706	2.216	-0.706	2.131	-0.69	2.923	2.821	0.935	0.932	0.755	0.72	-0.865	-0.838	30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	487.867	345.0	484.0	345.0	30	10	33	0.825	28	2	5	5	0.933	0.067	0.5	0.5	486.607	378.8	479.5	354.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	468.3	201.0	472.0	201.0	30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	456.567	431.0	437.5	431.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	474.033	400.0	452.0	330.0
128	150	50	170	0.85	132	18	38	12	0.88	0.12	0.76	0.24	685.47	558.333	679.5	545.5	1.175	-0.706	1.175	-0.706	1.162	-0.69	1.881	1.852	0.892	0.89	0.234	0.236	-0.267	-0.265	30	10	36	0.9	26	4	10	0	0.867	0.133	1.0	0.0	722.5		724.5		30	10	33	0.825	24	6	9	1	0.8	0.2	0.9	0.1	725.792	554.0	720.5	554.0	30	10	32	0.8	24	6	8	2	0.8	0.2	0.8	0.2	693.667	520.5	666.0	520.5	30	10	34	0.85	29	1	5	5	0.967	0.033	0.5	0.5	655.931	629.4	657.0	604.0	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	641.655	489.5	643.0	492.0
129	150	50	164	0.82	147	3	17	33	0.98	0.02	0.34	0.66	486.619	403.636	444.0	381.0	2.054	0.412	2.054	0.412	1.992	0.404	1.641	1.588	0.817	0.815	1.233	1.198	-0.839	-0.817	30	10	31	0.775	29	1	2	8	0.967	0.033	0.2	0.8	412.448	365.5	375.0	359.5	30	10	31	0.775	29	1	2	8	0.967	0.033	0.2	0.8	487.862	367.5	440.0	341.5	30	10	35	0.875	30	0	5	5	1.0	0.0	0.5	0.5	502.8	432.4	514.5	389.0	30	10	34	0.85	29	1	5	5	0.967	0.033	0.5	0.5	482.207	442.0	444.0	419.0	30	10	33	0.825	30	0	3	7	1.0	0.0	0.3	0.7	545.2	440.571	540.0	436.0
113	150	50	166	0.83	150	0	16	34	1.0	0.0	0.32	0.68	454.747	394.882	446.0	375.5	inf	0.468	2.713	0.468	2.715	0.458	2.245	2.257	0.827	0.828	1.59	1.587	-0.97	-0.97	30	10	33	0.825	30	0	3	7	1.0	0.0	0.3	0.7	455.033	365.0	441.5	368.0	30	10	32	0.8	30	0	2	8	1.0	0.0	0.2	0.8	420.6	375.25	422.5	342.0	30	10	35	0.875	30	0	5	5	1.0	0.0	0.5	0.5	477.0	459.4	483.5	484.0	30	10	33	0.825	30	0	3	7	1.0	0.0	0.3	0.7	459.467	420.143	457.0	397.0	30	10	33	0.825	30	0	3	7	1.0	0.0	0.3	0.7	461.633	375.857	445.0	361.0
110	150	50	178	0.89	146	4	32	18	0.973	0.027	0.64	0.36	597.158	468.833	585.0	436.5	1.932	-0.358	1.932	-0.358	1.884	-0.351	2.291	2.235	0.897	0.895	0.787	0.766	-0.798	-0.778	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	637.133	483.5	626.5	483.5	30	10	32	0.8	29	1	3	7	0.967	0.033	0.3	0.7	649.207	508.143	648.0	522.0	30	10	38	0.95	29	1	9	1	0.967	0.033	0.9	0.1	596.241	393.0	584.0	393.0	30	10	32	0.8	29	1	3	7	0.967	0.033	0.3	0.7	564.724	446.857	545.0	441.0	30	10	38	0.95	29	1	9	1	0.967	0.033	0.9	0.1	537.103	394.0	521.0	394.0
130	150	50	180	0.9	145	5	35	15	0.967	0.033	0.7	0.3	565.676	459.467	562.0	507.0	1.834	-0.524	1.834	-0.524	1.794	-0.513	2.358	2.307	0.911	0.908	0.655	0.64	-0.734	-0.715	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	638.034	428.25	601.0	409.0	30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	535.966	437.0	558.0	437.0	30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	581.31	504.0	555.0	504.0	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	542.414	404.0	580.0	543.0	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	530.655	521.25	474.0	526.0
131	150	50	179	0.895	150	0	29	21	1.0	0.0	0.58	0.42	509.113	469.429	512.0	457.0	inf	-0.202	2.713	-0.202	2.715	-0.198	2.915	2.913	0.893	0.893	1.256	1.259	-0.973	-0.973	30	10	35	0.875	30	0	5	5	1.0	0.0	0.5	0.5	559.1	511.6	544.0	427.0	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	542.833	442.75	541.0	446.5	30	10	35	0.875	30	0	5	5	1.0	0.0	0.5	0.5	514.967	486.0	507.5	459.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	473.367	462.0	444.0	472.0	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	455.3	428.25	471.0	377.0
132	150	50	181	0.905	138	12	43	7	0.92	0.08	0.86	0.14	662.688	343.714	661.0	419.0	1.405	-1.08	1.405	-1.08	1.387	-1.049	2.485	2.436	0.939	0.936	0.162	0.169	-0.241	-0.246	30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	637.724	405.5	658.0	405.5	30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	654.733	419.0	650.0	419.0	30	10	32	0.8	24	6	8	2	0.8	0.2	0.8	0.2	680.083	44.0	705.5	44.0	30	10	34	0.85	26	4	8	2	0.867	0.133	0.8	0.2	677.231	544.0	673.5	544.0	30	10	39	0.975	29	1	10	0	0.967	0.033	1.0	0.0	668.448		680.0	
133	150	50	163	0.815	146	4	17	33	0.973	0.027	0.34	0.66	525.288	460.939	529.5	394.0	1.932	0.412	1.932	0.412	1.884	0.404	1.52	1.48	0.811	0.809	1.172	1.144	-0.793	-0.773	30	10	32	0.8	29	1	3	7	0.967	0.033	0.3	0.7	527.207	553.143	551.0	460.0	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	510.933	400.25	483.0	372.0	30	10	32	0.8	29	1	3	7	0.967	0.033	0.3	0.7	530.552	436.857	532.0	474.0	30	10	31	0.775	28	2	3	7	0.933	0.067	0.3	0.7	518.929	435.857	504.0	422.0	30	10	32	0.8	30	0	2	8	1.0	0.0	0.2	0.8	538.633	453.625	536.0	389.5
